 Date,Issue raised by,Application,Issue Type,OS - Operating System,Browser,Envirnoment,Retail Type,Location Type,Module,Feature,Issue Description,Assignee,Priority,Issue Status,Dev Comments,QA comments,Sprints,Steps to Reproduce,Estimated Back End Time,Attachments
24/12/2025,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Processing Section,Re-print KOT prints only complimentary item after reversing order from Completed to Processing,Lucky,P1,Reopen,calling api with wrong placeSquence,,,"1.Place order for single item
2.Mark it as ready 
3.Reverse the order from completed state
4. In processing state edit the job and add complimentary
5.Hit Reprint KOT
6.Observe the KOT printed",,
26/12/2025,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,search by order,search by order not giving expected result for takeaway and dl orders,Souvik,P1,Closed,,,,,,
29/12/2025,Souvik,POS(Web),Request new Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Ready,"When an order is marked as Ready in KDS, the notification flow is unclear; Ready status and its notification logic need to be implemented",Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Processing Section,Reprint KOT didn't print token number when the order is reversed from completed state and adding complementary to the job,Sundhar,P1,Pending Retest,,,,,,
31/12/2025,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Menu stock,"Exact item name search (e.g., “Chicken Biriyani Full”) returns no results despite the item existing(item name and variant name jumbled)",Amol,P1,Assigned,,,,,,
31/12/2025,Souvik,POS(Web),Request new Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,prep station filter,"KDS should provide a prep station selection dropdown to allow choosing the relevant prep station, supporting multiple prep stations and multiple KDS screens",Ajay Aksath,P1,Pending Retest,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Cart,Batch selection popup,POS: display all the Batches with same price and different Expiry date,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Cart,Inventory popup,POS: Indicator for zero inventory products (based on store configuration),Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,OMS,Returns,POS: Multiple Returns for one single order,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,OMS,IMS,POS: User choosen batch inventory should be consumed when displaying multiple batch having same price and different expiry date,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Cart,UI,Bill should be printed in the same sequence as cart product,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Order LIsting ,Filter,App order filter for capturing the payments in POS UI ,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,RMS,Loyalty Report,Implementing the loyalty reports by applying the Start and End date filter by RMS UI,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,RMS,Coupon Report,Implementing the coupon reports by applying the Start and End date filter by RMS UI,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Cart,Offers,buy 2 get 1 same product [Buy x get y offers]- calculation issue in cart,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,RMS,Product details,Implementing-Individual Product level Sale Report by date filter,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Order listing,Order listing,In order table the Returned Orders should be highlighted.,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,POSUI,LOgin,Change PIN: The input box should only accept 4 digits on the POS user profile page.,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,POSUI,OMS,Handling the partial paid issue from POS UI,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,POSUI,Apply Offer Popup,"Displays ""apply offer"" for products that do not have any available offers",Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Cart,Hold Cart,After given end day hold cart items needs to be deleted and it should not come in next day session ,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,POSUI,Search,Need to display the sale price in serch bar product results,Ajay Aksath,P1,Assigned,,,,,,
30/12/2025,Sathish,POS(Web),Regression,Windows,Chrome,Stage,Grocery,Grocery,POSUI,Dayclosing,Sessions details and hold cart datas are getting displayed even after we give end day,Lucky,P1,Assigned,"On doing End Day from RMS and then loggig in POS it is still showing the Hold carts in Hold cart page, on doing End day all hold carts should be deleted",,,,,
30/12/2025,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Grocery,Grocery,POSUI,OMS,"Not able to create a ""Credit order "" with decimal order values with having 0.4 decimal values",Lucky,P1,Reopen,,please palce the order in below .4 decimal value,,,,
30/12/2025,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,POSUI,POSUI,Manual cash drawer open trigger implementation is not avaliable for Restaurant POS UI,Prakash,P1,Fixed,,,,,,
30/12/2025,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Order ,Credit order summary,Credit order settlement is not happening on web POS for restaurnt Dine In orders,Anjani,P1,Assigned,,,,,,
6/1/2026,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,KOT,if adding complementary from KDS that should blink the reprint KOT,Lucky,P2,Assigned,,,,,,
12/1/2026,Vanitha,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart Preview,Cart Preview,Coupon values are wrong on the cart preview page after selecting a table,Aman Raj,P1,Fixed,,,,,,
28/1/2026,Vanitha,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Order Details Page,Order Details Page,Reprint KOT button needs to be added,Prakash,P2,Fixed,,,,,,
28/1/2026,Vanitha,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,QSR,POS Captain,POS Captain,POS captain should not access QSR,Minakshi,P0,Assigned,,,,,,
02/02/2026,Vanitha,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,KDS to Cart,"Adding complementary product from KDS screen for a particular order group, it should add in the same order group in cart",Abu,P1,Fixed,,,,,,
02/02/2026,Vanitha,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,RMS to Cart,Day wise item availability needs to be implemented,Amol,P2,Pending Retest,,,,,,
02/02/2026,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,ODS,Rider detail missing for B2C order,Sundhar,P2,Pending Retest,,,,,,
05/02/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,KDS,layout name is coming null for QR orders,Swagata,P1,Assigned,,,,,,
05/02/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Grocery,FINE DINE-IN,ODS,ODS,picklist and validate button needs padding from bottom in ODS screen,Prakash,P3,Fixed,,,,,,
05/02/2026,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,Add on Modal,Maximum addon selection breaches the limit(multi_select),Sundhar,P1,Not Required,,,,,,
12/02/2026,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,Add Product Pop-up,Add-on mapped to multiple groups shows incorrect group in edit cart popup,Sundhar,P1,Not Feasible,,,,,,
12/02/2026,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,ODS,Manual state transitioning to DELIVERED the order group should display on top,Anjani,P1,Assigned,,,,,,
12/02/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,KDS,QR table displays metadata instead of table name and area name,Swagata,P0,Assigned,,,,,,
23/02/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,cart,item with multiple variant,Variants should be dynamically enabled/disabled based on selected sales channel,Amol,P1,Assigned,,,,,,
04/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,product ,Best seller filter,"""Bestseller"" products fiter is not working as expected",Amol,P0,Reopen,,,,,,
04/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,cart UI,need to handle the qty increase and decrease in item along with addons,Nitika,P1,Pending Retest,This will be done in next release,,,,,
04/03/2026,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,table layout,UI Freeze,The table layout screen got freezed when the user refreshed the browser on the cart screen.,Sathish,P1,Assigned,Unable to Reproduce the issue,,,,,
04/03/2026,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Expense,Session closing dashboard,"need to capture the ""Expense "" data in the session closing dashboard and on session and day closing reports",Lalith,P1,Assigned,Not getting the data from backend,,,,,
09/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,bottom navigation,bottom navigation,Dine-in sales channel not selected after navigating to other pages via bottom navigation and returning to the layout page,Prakash,P2,Fixed,,,,,,
09/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,slots,"When a particular slot is selected, the order count from other slots gets removed",Anjani,P2,Assigned,"Becuase for restaurant the slot filtering logic changes from frontend to backend, status count aslo needs to be handled from backend side",,,,,
09/03/2026,Souvik,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,re-print KOT,Unable to re-print KOT from KDS,Lucky,P0,Assigned,,,,,,
09/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,session close,hold cart,mPOS hold cart should not show in webPOS while closing the session,Lucky,P0,Reopen,"it is configuration based, currently only the cart created by same user will be only shown in session closing screen ",,,,,
10/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,end day report,end day report,ROD showing wrong calculation,Anjani,P0,Reopen,,,,,,
09/03/2026,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,QSR,KOT,Comments,Remove default comment in KOT from the retrieved hold cart,Abu,P2,Fixed,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,combos,KOT,"if combos have multiple prepstation menus, the KOT is not getting splitted based on the menus inside the combo",Aman Raj,P1,Not Started,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,combos,KOT,menus are not displaying on the KOT prints for combos,Aman Raj,P1,Not Started,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,menu listing page,Bestseller filter,"in best seller filter, it shows invidual menu list that are present inside the combos",Rishab,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,menu listing page,Bestseller filter,"""All"" Filter is not working fine, when the catagory is selected",Nitika,P1,Reopen,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Session closing,session closing,"The expense values are not getting reduced, while closing the session",Anjani,P0,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,stock adjusrtment,stock adjusrtment,"stock adjustment is not working for ""Menus"" from POS",Ajay Aksath,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Logistics,Create new Logistics,Logistics service in POS it is not working,Aman Deep,P0,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Logistics,Create new Logistics,special characters should be restriced in logistics creation page in phone no input filed,Aman Deep,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Logistics,Dashboard,"if the store is not serviceable, it should show only valid message to the user in logistics page",Aman Deep,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Logistics,Logistics,Logistics page is not UI responsive,Aman Deep,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,"Pause online orders "" drop down","""Pause online orders"" are not working",Dinesh,P1,Reopen,,,,,,
10/03/2026,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Printer Configuration,Printer Configuration,invalid text alignment in test print in printer config page,Lucky,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,customer popup,"Customer popup is getting removed from the UI, when the user navigates and come back to the cart page in Takeaway and Delivery modes",Lucky,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,session closing,session closing warning message,Active hold cart warning message is not there while closing the session,Lucky,P1,Assigned,,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,menu listing page,combos,"In product listing UI, the last item from the list is not dispalying the complete data of the category. Ui overlap ",Prakash,P1,Fixed,this is working fine and the change here we need is to do the sorting and filtering from the backend side rather than frontend side. for the categories list,,,,,
10/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,Search bar,"in ODS screen, the search bar size is reduced in 1024x768 pixel",Lucky,P1,Not Started,,,,,,
10/03/2026,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Bundles,Bundles,Bundles are not working on Grocery WEB POS,Prakash,P1,Assigned,This is not implemented,,,,,
11/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Grocery,Grocery,taxinvoice,taxinvoice,"store data is not printing on bills, while printing the bills from the POS after doing the test print",Prakash,P1,Fixed,,,,,,
12/03/2026,Souvik,POS(Web),Prod issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,combos,combo prince in cart,"Sales channel prices are not displayed; instead, a consolidated item price is shown",Aman Raj,P0,Fixed,,,,,,
12/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,table layout,area slection dropdown,area name floating issue in table layout,Lucky,P2,Not Feasible,,,,,,
12/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,coupons,coupons,"Coupon issue - 1.not all coupons are applying on the cart
2.some coupons are appliying but cart not recalculating",Aman Raj,P0,Pending Retest,,,,,,
12/03/2026,Sathish,POS(Web),Request new Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Order,cancel button,1. Option of cancelling bill before settlement has to be there with Manager Authorization,Ajay Aksath,P1,Assigned,,,,,,
12/03/2026,Sathish,POS(Web),Request new Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Order ,cancel authorisation,"2. ⁠And cancellation of bill after settlement , authorisation with Dum Foods Finanace or System Admin from Dum Food only",Ajay Aksath,P1,Assigned,,,,,,
12/03/2026,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Grocery,Grocery,Order ,order details page,"Need ""Pay"" button for created state orders in Grocery POS orders on orders details page",Lucky,P1,Pending Retest,,,,,,
12/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,kds,menu stock,"invalid data in ""Out Of Stock"" popup in menu stock popup in kds",Amol,P2,Assigned,,,,,,
12/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,kds,Search dropdown,"In the KDS Edit Order popup, the add complimentary search suggestions are not displayed in the dropdown.",Lucky,P2,Fixed,,,,,,
12/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,kds,Search bar,Search is not working for the KOT in KDS search,Abu,P2,Pending Retest,,,,,,
12/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,kds,Processing section,Reprint KOT is not working on KDS screen for Processing section orders,Lucky,P2,Reopen,,,,,,
12/03/2026,Sathish,POS(Web),Regression,Windows,Chrome,Stage,Restaurant,QSR,cart,cart,same cart items are displying for different orders types like takeaway and delivery,Abu,P1,Pending Retest,,,,,,
13/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Transfer Table,Transfer Table,"All the tables are not displayed on the ""Transfer table"" modal with selected layout",Aman Raj,P0,Fixed,,,,,,
13/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Table layout screen,Table layout screen,"After transferring the old table to the new table, the latest table is not updated in the UI based on the order or cart status, and it is not shown in different colours in the table layout screen.",Lucky,P1,Reopen,,,,,,
13/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,cart,cart,"item level notes is getting removed, when the user adds the QTY of the menu",Aman Raj,P1,Fixed,,,,,,
13/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,menu,comments popup,"item level comments text ""Item"" text color needs to be changed",Lucky,P2,Fixed,,,,,,
16/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,buzzer sound,"While refreshing the POS, the new order buzzer sound is not occurring. ",Lucky,P1,Not Feasible,"Refreshing page kills the sound instance so the ongoing buzzer soung gets stopped, however it will again start ringin when new order will arrive",,,,,
16/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,buzzer sound,"when the user is in Instant delvery slot, the buzzer sound is not appear in ODS",Lucky,P1,Not Feasible,"Needs backend support, Need a dicussion",,,,,
16/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,buzzer sound,"when the user is in KDS screen, the ODS buzzer sound is not occuring",Lucky,P1,Not Feasible,"KDS has it's own sound notification, so playing ODS sound in KDS screen can create confusion, however icon blink willbe there",,,,,
16/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,buzzer sound,"need to enable the buzzer sound, untill the ""New "" state order counts become 0",Sathish,P1,Not Feasible,"This is not Feasible, becuase if 100 orders will be there it will buzzer 100 times",,,,,
17/03/2026,Sathish,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Cart,Discounts,Need to handle the discounds in POS.,Lucky,P1,Assigned,,,,,,
18/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,Orders,0 value,"Need to handle the '0' value orders for the QSR (UPI, CARD, SPLIT)",Anjani,P1,Assigned,,,,,,
18/03/2026,Sathish,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,ODS,Buzzer sound,"Buzzer sound is coming for ""Delivery"" and ""Takeaway"" state orders for POS - delivery and Takeaway orders.",Anjani,P1,Assigned,"Dependency: Need a provision from the Backend side to check that it is Order for POS and the order should be in ""CREATED"" state currently it is coming in ""DELIVERED"" state",,,,,
18/03/2026,Sathish,POS(Web),Regression,Windows,Chrome,Stage,Grocery,FINE DINE-IN,ODS,Pick list,"In ODS, the auto picklist pint is not happening on web POS grocery ODS",Lucky,P0,Fixed,,,,,,
18/03/2026,Sathish,POS(Web),Regression,Windows,Chrome,Stage,Grocery,FINE DINE-IN,ODS,taxinvoice,"For b2c app orders, the customer detials is not printed on the bills from ODS",Lucky,P0,Fixed,,,,,,
18/03/2026,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,cart,recall/complementary,Repeat order items can incorrectly be marked as complimentary,Aman Raj,P0,Fixed,,"steps to reproduce:
1. add item with single quantity - place order
2. add same item with higher quantity- place order
3. recall one item
4. complement same item from different order bucket
5. recalled one is marked as complementary",,,,
